company_name,cik,has_exhibit21,exhibit21_url,subsidiary_count,reason
1 800 Flowers Com Inc,1084869,False,,0,"10-K found, but Exhibit-21 missing"
10X Genomics Inc,1770787,False,,0,"10-K found, but Exhibit-21 missing"
1606 Corp,1877461,False,,0,"10-K found, but Exhibit-21 missing"
1895 Bancorp Of Wisconsin Inc,1847360,True,https://www.sec.gov/Archives/edgar/data/1847360/000095017024038577/bcow-ex21.htm,2,Exhibit-21 found
1stdibs.com Inc,1600641,True,https://www.sec.gov/Archives/edgar/data/1600641/000160064125000011/ex211subsidiariesof1stdibs.htm,1,Exhibit-21 found
21Shares Core Ethereum ETF,1992508,False,,0,"10-K found, but Exhibit-21 missing"
22Nd Century Group Inc,1347858,True,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,13,Exhibit-21 found
2Seventy Bio Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
374Water Inc,933972,True,https://www.sec.gov/Archives/edgar/data/933972/000165495425003443/scwo_ex211.htm,2,Exhibit-21 found
3D Systems Corp,910638,True,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,31,Exhibit-21 found
3M Co,66740,False,,0,"10-K found, but Exhibit-21 missing"
4D Molecular Therapeutics Inc,1650648,False,,0,"10-K found, but Exhibit-21 missing"
4Front Ventures Corp,1045810,False,,0,"10-K found, but Exhibit-21 missing"
5E Advanced Materials Inc,1888654,False,,0,"10-K found, but Exhibit-21 missing"
60 Degrees Pharmaceuticals Inc,1946563,False,,0,"10-K found, but Exhibit-21 missing"
89Bio Inc,1018724,True,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231xex211.htm,9,Exhibit-21 found
8x8 Inc,1023731,True,https://www.sec.gov/Archives/edgar/data/1023731/000102373125000039/a8x8_fy2510kxex211.htm,1,Exhibit-21 found
908 Devices Inc,1555279,True,https://www.sec.gov/Archives/edgar/data/1555279/000155837025002459/mass-20241231xex21d1.htm,3,Exhibit-21 found
A10 Networks Inc,1580808,False,,0,"10-K found, but Exhibit-21 missing"
AA Mission Acquisition Corp,2012964,False,,0,"10-K found, but Exhibit-21 missing"
Aadi Bioscience Inc,1469443,False,,0,"10-K found, but Exhibit-21 missing"
