parent_name,parent_cik,subsidiary_name_raw,subsidiary_name_clean,source_type,source_url,confidence,extraction_notes
1895 Bancorp Of Wisconsin Inc,1847360,"PyraMax Bank, FSB",pyramax bank fsb,exhibit_21,https://www.sec.gov/Archives/edgar/data/1847360/000095017024038577/bcow-ex21.htm,1.0,
1895 Bancorp Of Wisconsin Inc,1847360,"PyraMax Insurance Services LLC (a wholly owned subsidiary of PyraMax Bank, FSB)",pyramax insurance services (a wholly owned subsidiary of pyramax bank fsb),exhibit_21,https://www.sec.gov/Archives/edgar/data/1847360/000095017024038577/bcow-ex21.htm,1.0,
1stdibs.com Inc,1600641,"1stdibs.com, Ltd",1stdibscom,exhibit_21,https://www.sec.gov/Archives/edgar/data/1600641/000160064125000011/ex211subsidiariesof1stdibs.htm,1.0,
22Nd Century Group Inc,1347858,"22nd Century Limited, LLC",22nd century,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"Goodrich Tobacco Company, LLC",goodrich tobacco,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"Heracles Pharmaceuticals, LLC",heracles pharmaceuticals,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"NASCO Products, LLC",nasco products,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"Botanical Genetics, LLC",botanical genetics,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,22nd Century Group Europe B.V.,22nd century group europe bv,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"22nd Century Group Canada, Inc.",22nd century group canada,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"22nd Century Holdings, LLC",22nd century holdings,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"Golden Acquisition Sub, LLC",golden acquisition sub,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"ESI Holdings, LLC",esi holdings,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"PTB Investment Holdings, LLC",ptb investment holdings,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"BridgeWay Distribution, LLC",bridgeway distribution,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
22Nd Century Group Inc,1347858,"Nasco Exports, LLC",nasco exports,exhibit_21,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm,1.0,
374Water Inc,933972,"374Water Systems, Inc.",374water systems,exhibit_21,https://www.sec.gov/Archives/edgar/data/933972/000165495425003443/scwo_ex211.htm,1.0,
374Water Inc,933972,374Water Sustainability LTD,374water sustainability,exhibit_21,https://www.sec.gov/Archives/edgar/data/933972/000165495425003443/scwo_ex211.htm,1.0,
3D Systems Corp,910638,3D Canada Company,3d canada,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,3D European Holdings Ltd.,3d european holdings,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"3D Holdings, LLC",3d holdings,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,3D Latam LLC,3d latam,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,3D Systems Asia-Pacific Pty Ltd,3d systems asia-pacific pty,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,3D Systems Europe Ltd.,3d systems europe,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"3D Systems Hong Kong Co., Limited",3d systems hong kong,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"3D Systems India, Inc.",3d systems india,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"3D Systems Korea, Inc.",3d systems korea,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"3D Systems, Inc.",3d systems,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,3DS Additive Israel Ltd,3ds additive israel,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"AMT, Inc.",amt,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"Geomagic (Shanghai) Software Co., Ltd.",geomagic (shanghai) software,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"Geomagic, Inc.",geomagic,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"Kumovis, Inc.",kumovis,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"LayerWise, Inc.",layerwise,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,Medical Modeling Inc.,medical modeling,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,OptoForm LLC (a),optoform (a),exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,Oqton Shanghai Ltd.,oqton shanghai,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"Oqton, Inc.",oqton,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,Product Development Group LLC,product development group,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"Quickparts.com, Inc.",quickpartscom,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"Rapidform, Inc.",rapidform,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,"Shanghai Forever Technology & Development Co., Ltd.",shanghai forever technology & development,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
3D Systems Corp,910638,Shemesh Printing Merger Company 2023 Ltd.,shemesh printing merger 2023,exhibit_21,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm,1.0,
