brand_raw,suggested_canonical,score
Hungry Root,Hungryroot,85.71428571428571
American Standard,American Stationary,83.33333333333333
Associated Wholesale Grocers,Bjs Wholesale,81.81818181818181
Kohls,Khols,80.0
Sketcher,Skechers,87.5
Best Buy,Bestbuy,80.0
Fiesta Market,Fresh Market,80.0
Black Entertainment Television,Mga Entertainment,86.66666666666667
Hmshost,Hms Host,80.0
Anytimefitness,Anytime Fitness,89.65517241379311
California Baby,Grocery Outlet In Irvine California,80.0
Marco'S Pizza,Marcos Pizza,88.0
Chic Fila,Chick Filet,80.0
Goodreads,Good Reads,84.21052631578948
7 Brew,Seven Brew,80.0
Mcdonald'S,Mcdonalds,84.21052631578948
University Of Miami,> > University Of Cincinnati > >,81.25
Agway,Away,88.88888888888889
Chic Fil A,Chic Fila,84.21052631578948
Jewel Osco,> > Jewel,83.33333333333333
Raising Cane'S,Raising Canes,88.88888888888889
Bank Of America,Hospital Corporation Of America,80.0
The Human Bean,L L Bean,80.0
Zella,Zelle,80.0
Mac Cosmetics,Hourglass Cosmetics,81.81818181818181
I Phone,Cell Phone Services Provider,83.33333333333333
Evo Entertainment,Black Entertainment Television,86.66666666666667
Hy Vee,Hy-Vee,83.33333333333333
Elf Cosmetics,Hourglass Cosmetics,81.81818181818181
Peraton,Sheraton,80.0
Fj Management,Environmental Resource Management,86.95652173913044
Ingleside,Ingles,80.0
NC,NBC,80.0
Buc-Kees,Bucees,85.71428571428571
Publux,Publix,83.33333333333333
Nutsac,Nuts,80.0
America'S Best,Americas Best,88.88888888888889
Ace,Acme,85.71428571428571
Seventh Generation,7Th Generation,83.33333333333333
Visions Federal Credit Union,Empower Federal Credit Union,83.33333333333333
Marketplace Foods,Food Universe Marketplace,80.95238095238095
Bell,Bealls,80.0
Kimba,Kemba,80.0
Paula'S Choice,Paulas Choice,88.88888888888889
Mobil 1,Mobil Gas,83.33333333333333
Fairlife — They Make Protein Shakes,They Make Vegan Protein,85.0
Royal King,Rural King,80.0
Runnings,Running'S,82.35294117647058
The Hub Group,The Chamberlain Group,81.81818181818181
Roscoes,Roses,83.33333333333333
Giant Supermarket,Pet Supermarket,84.61538461538461
Trader Joes,Trader Joe'S,86.95652173913044
Michaels,Micheals,87.5
Apple Federal Credit Union,Visions Federal Credit Union,86.95652173913044
Car Insurance,Allstate Insurance,81.81818181818181
Pureology,Curology,82.35294117647058
Ap News,Abc News,80.0
D&W Grocery Stores,Meijers Grocery Stores Cincinnati,87.5
Allmodern,All Modern,84.21052631578948
Le Crueset,La Creuset,80.0
E.L.F. Cosmetics,Mac Cosmetics,81.81818181818181
Tractor Supply Co,Tractor Supoly,83.87096774193549
Meijer,Meijer'S,85.71428571428571
Giant Eagle Grocery Stores,D&W Grocery Stores,87.5
Bees Coffee,Beans Coffee,86.95652173913044
Coborn'S,Coborns,80.0
> > Traders Joes > >,Trader Joes,88.0
Byoma,Broma,80.0
Canva,Cava,88.88888888888889
