CONNECTED_ORG_NM,pac_count,active_pac_count,has_any_pac_donated,total_pac_amount,has_pac,has_pac_donations
1ST SOURCE CORPORATION,1,0,False,0.0,True,False
"21ST CENTURY ONCOLOGY, INC",1,0,False,0.0,True,False
3M COMPANY,1,1,True,63250.0,True,True
A. O. SMITH CORPORATION,1,1,True,3000.0,True,True
"AARON'S, INC.",1,0,False,0.0,True,False
ABBVIE,1,1,True,22549.87,True,True
"ABIOMED, INC.",1,0,False,0.0,True,False
ACXIOM LLC,1,0,False,0.0,True,False
AECOM,1,1,True,6700.0,True,True
AEROJET ROCKETDYNE INC.,1,0,False,0.0,True,False
AFFINITY FEDERAL CREDIT UNION,1,0,False,0.0,True,False
AFLAC,1,1,True,93000.0,True,True
"AHOLD DELHAIZE USA, INC.",1,0,False,0.0,True,False
"AIR PRODUCTS AND CHEMICALS, INC.",1,1,True,30000.0,True,True
AK STEEL CORPORATION,1,0,False,0.0,True,False
AKERMAN LLP,1,0,False,0.0,True,False
ALABAMA FARMERS FEDERATION *,1,0,False,0.0,True,False
ALABAMA POWER COMPANY,1,0,False,0.0,True,False
ALCOA CORPORATION,1,1,True,4000.0,True,True
"ALEX LEE, INC.",1,0,False,0.0,True,False
"ALEXANDER & BALDWIN, INC. (A HAWAII CORPORATION INCORPORATED ON MARCH 19, 2012)",1,1,True,27048.0,True,True
"ALEXION PHARMACEUTICALS, INC.",1,0,False,0.0,True,False
ALKERMES INC.,1,0,False,0.0,True,False
"ALLETE, INC.",1,0,False,0.0,True,False
ALLIANT ENERGY CORPORATION,1,1,True,61931.39,True,True
ALLSTATE INSURANCE COMPANY,1,1,True,68050.0,True,True
ALLY FINANCIAL INC.,1,1,True,741029.19,True,True
ALTICE USA,1,0,False,0.0,True,False
"ALTICOR, INC",1,0,False,0.0,True,False
ALTRIA GROUP INC.,1,1,True,160803.81,True,True
AM GENERAL LLC,1,0,False,0.0,True,False
AMALGAMATED BANK,1,1,True,163788.15,True,True
AMEDISYS INC.,1,0,False,0.0,True,False
AMEREN CORPORATION,1,0,False,0.0,True,False
AMERICAN AIR LIQUIDE HOLDINGS INC,1,0,False,0.0,True,False
AMERICAN AIRLINES INC.,1,1,True,346849.2,True,True
AMERICAN COMMERCIAL BARGE LINE LLC,1,0,False,0.0,True,False
AMERICAN ELECTRIC POWER,1,1,True,1000.0,True,True
AMERICAN EXPRESS COMPANY,1,1,True,538011.11,True,True
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",1,0,False,0.0,True,False
AMERICAN FIDELITY CORPORATION,1,0,False,0.0,True,False
AMERICAN INCOME LIFE INSURANCE COMPANY,1,0,False,0.0,True,False
"AMERICAN MULTI-CINEMA, INC.",1,1,True,20000.0,True,True
AMERICAN PEANUT SHELLERS ASSOCIATION,1,1,True,11550.0,True,True
AMERICAN PUBLIC POWER ASSOCIATION,1,0,False,0.0,True,False
"AMERICAN ROLL-ON ROLL-OFF CARRIER GROUP, INC.",1,0,False,0.0,True,False
"AMERICAN WATER WORKS COMPANY, INC.",1,1,True,11864.82,True,True
AMERIPRISE FINANCIAL INC.,1,1,True,235307.85,True,True
AMERISOURCEBERGEN CORPORATION,1,0,False,0.0,True,False
AMGEN INC.,1,1,True,384745.09,True,True
AMICA MUTUAL INSURANCE COMPANY,1,0,False,0.0,True,False
AMSTED INDUSTRIES INCORPORATED,1,0,False,0.0,True,False
ANALYTICAL GRAPHICS INC,1,0,False,0.0,True,False
ANESTHESIA SERVICE MEDICAL GROUP ADVOCACY FUND,1,0,False,0.0,True,False
ANHEUSER-BUSCH COMPANIES INC.,1,0,False,0.0,True,False
"ANTHEM, INC.",1,0,False,0.0,True,False
AON CORPORATION,1,1,True,6500.0,True,True
APACHE CORPORATION,1,0,False,0.0,True,False
"APPLIED MATERIALS, INC.",1,1,True,26500.0,True,True
APTIM CORP.,1,0,False,0.0,True,False
"AQUA AMERICA, INC.",1,0,False,0.0,True,False
ARCADIS U.S. INC.,1,0,False,0.0,True,False
ARCBEST CORPORATION,1,1,True,3441.0,True,True
ARCELORMITTAL SALES AND ADMINISTRATION LLC,1,1,True,1110.0,True,True
ARCH CAPITAL GROUP (US) INC.,1,1,True,23699.84,True,True
"ARCH RESOURCES, INC.",1,0,False,0.0,True,False
ARCONIC CORPORATION,1,0,False,0.0,True,False
ARDENT LEGACY HOLDINGS LLC,2,0,False,0.0,True,False
ARKEMA INC,1,0,False,0.0,True,False
"ARVEST BANK GROUP, INC.",1,0,False,0.0,True,False
ASHLAND LLC,1,0,False,0.0,True,False
ASSURANT INC.,1,1,True,42000.0,True,True
ASTELLAS US LLC,1,0,False,0.0,True,False
ASURION LLC,1,0,False,0.0,True,False
AT&T INC.,2,0,False,0.0,True,False
"ATKINS US HOLDINGS, INC",1,0,False,0.0,True,False
"ATLAS AIR WORLDWIDE HOLDINGS, INC.",1,0,False,0.0,True,False
ATMOS ENERGY CORPORATION,1,1,True,117256.26,True,True
"ATTORNEYS' TITLE GUARANTY FUND, INC.",1,0,False,0.0,True,False
"AUTOZONE, INC",1,1,True,90178.92,True,True
AVANGRID,1,0,False,0.0,True,False
"AVIS BUDGET GROUP, INC.",1,1,True,35623.68,True,True
AVISTA EMPLOYEES FOR EFFECTIVE GOVERNMENT,1,0,False,0.0,True,False
AZOA SERVICES CORPORATION,1,0,False,0.0,True,False
"BABCOCK & WILCOX ENTERPRISES, INC.",1,0,False,0.0,True,False
BALL CORPORATION,1,1,True,896752.35,True,True
BANCORPSOUTH BANK,1,0,False,0.0,True,False
BANK OF AMERICA CORPORATION,2,2,True,102140.0,True,True
BANK OF HAWAII,1,1,True,2000.0,True,True
BARCLAYS GROUP US INC.,1,0,False,0.0,True,False
BASF CORPORATION,1,0,False,0.0,True,False
BAYER U.S. LLC,1,0,False,0.0,True,False
BEALL'S INC.,1,0,False,0.0,True,False
BEAM SUNTORY INC,1,0,False,0.0,True,False
BECHTEL,1,0,False,0.0,True,False
"BENTLEY SYSTEMS, INCORPORATED",1,1,True,88741.0,True,True
BERKSHIRE HATHAWAY ENERGY COMPANY,1,1,True,150918.77,True,True
"BEST BUY CO., INC.",1,1,True,290842.06,True,True
"BHFS-E, PC",1,0,False,0.0,True,False
"BIOGEN, INC.",1,1,True,84500.0,True,True
BIOMARIN PHARMACEUTICAL INC.,1,1,True,4750.0,True,True
BLACK & VEATCH,1,0,False,0.0,True,False
"BLACK KNIGHT LENDING SOLUTIONS, INC.",1,0,False,0.0,True,False
BLESSEY MARINE SERVICE INC,1,0,False,0.0,True,False
"BLOOMIN' BRANDS, INC",1,1,True,64500.0,True,True
BMO FINANCIAL CORP,1,0,False,0.0,True,False
BNSF RAILWAY COMPANY,1,1,True,8749.36,True,True
BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),1,0,False,0.0,True,False
BOEHRINGER INGELHEIM USA CORPORATION,1,0,False,0.0,True,False
BOK FINANCIAL CORP.,1,0,False,0.0,True,False
BOMBARDIER TRANSPORTATION (GLOBAL) USA,1,0,False,0.0,True,False
BOSTON SCIENTIFIC CORPORATION,1,1,True,173726.23,True,True
BOYD GAMING CORPORATION,1,1,True,40312.5,True,True
BP CORPORATION NORTH AMERICA INC,1,0,False,0.0,True,False
BRIDGESTONE AMERICAS INC.,1,0,False,0.0,True,False
BRISTOL-MYERS SQUIBB COMPANY,1,0,False,0.0,True,False
BROOKDALE SENIOR LIVING INC.,1,1,True,1000.0,True,True
BROOKFIELD PROPERTIES RETAIL INC.,1,0,False,0.0,True,False
BROWN-FORMAN CORPORATION,1,1,True,168660.0,True,True
BRUNSWICK CORPORATION,1,0,False,0.0,True,False
BUCHANAN INGERSOLL & ROONEY PC,1,0,False,0.0,True,False
"BUNGE NORTH AMERICA, INC.",1,1,True,98502.26,True,True
"BURNS & MCDONNELL, INC.",1,0,False,0.0,True,False
BUZZI UNICEM USA INC.,1,0,False,0.0,True,False
"BWX TECHNOLOGIES, INC",1,1,True,347916.7,True,True
"CADENCE BANK, N.A.",1,1,True,216663.57,True,True
"CAESARS ENTERTAINMENT, INC.",1,0,False,0.0,True,False
CALGON CARBON CORPORATION,1,1,True,4000.0,True,True
CALIFORNIA COAST CREDIT UNION,1,0,False,0.0,True,False
CALPINE CORPORATION,1,0,False,0.0,True,False
CALPORTLAND COMPANY,1,0,False,0.0,True,False
CAMBIA HEALTH SOLUTIONS INC.,1,1,True,13354.99,True,True
CAPITAL ONE FINANCIAL CORP.,1,1,True,2860943.24,True,True
CARDINAL HEALTH INC.,1,0,False,0.0,True,False
CAREER EDUCATION CORPORATION,1,0,False,0.0,True,False
CAREFIRST BLUE CROSS BLUESHIELD,1,0,False,0.0,True,False
CATERPILLAR INC.,1,1,True,281411.99,True,True
"CBOE GLOBAL MARKETS, INC.",1,1,True,512857.62,True,True
CELANESE CORPORATION,1,1,True,15000.0,True,True
CELGENE CORPORATION,1,0,False,0.0,True,False
CENTENE CORPORATION,1,1,True,405560.29,True,True
"CENTERPOINT ENERGY, INC.",1,1,True,11730.21,True,True
CENTRUS ENERGY CORP.,1,0,False,0.0,True,False
CENTURYLINK INC.,1,0,False,0.0,True,False
CERNER CORPORATION,1,0,False,0.0,True,False
CHARLES SCHWAB CORPORATION,1,1,True,732637.54,True,True
CHARTER COMMUNICATIONS INC.,1,1,True,758177.0,True,True
CHENIERE ENERGY INC.,1,1,True,155538.65,True,True
CHESAPEAKE ENERGY CORPORATION,1,0,False,0.0,True,False
"CHS/COMMUNITY HEALTH SYSTEMS, INC.",1,0,False,0.0,True,False
CHUBB GROUP HOLDINGS INC.,1,1,True,320152.85,True,True
CHUGACH ALASKA CORPORATION,1,0,False,0.0,True,False
CIGNA CORPORATION,1,0,False,0.0,True,False
CINCINNATI BELL INC,1,0,False,0.0,True,False
CINTAS CORPORATION,1,1,True,36910.04,True,True
"CISCO SYSTEMS, INC.",1,1,True,7000.0,True,True
CIT GROUP INC.,1,0,False,0.0,True,False
CITIGROUP INC.,2,1,True,92000.0,True,True
