TICKER,has_pac,has_pac_donations,pac_count,active_pac_count,total_pac_amount,pac_status
TMO,,,,,,PAC_DONATED
AFG,,,,,,PAC_DONATED
CSX,True,True,1.0,1.0,294265.0,PAC_DONATED
MPWR,,,,,,PAC_DONATED
MEI,,,,,,PAC_DONATED
NRG,,,,,,PAC_DONATED
KMX,,,,,,PAC_DONATED
ICLR,,,,,,PAC_DONATED
EXEL,,,,,,PAC_DONATED
ARR,,,,,,PAC_DONATED
GOGO,,,,,,PAC_DONATED
SIRI,,,,,,PAC_DONATED
LNN,,,,,,PAC_DONATED
UMBF,,,,,,PAC_DONATED
CVLT,,,,,,PAC_DONATED
MDB,,,,,,PAC_DONATED
NOC,True,True,1.0,1.0,220181.85,PAC_DONATED
SABR,,,,,,PAC_DONATED
CVI,,,,,,PAC_DONATED
ZTS,True,True,1.0,1.0,7500.0,PAC_DONATED
CBU,,,,,,PAC_DONATED
ABCB,,,,,,PAC_DONATED
GT,,,,,,PAC_DONATED
ACHC,,,,,,PAC_DONATED
WMT,True,True,1.0,1.0,202718.1,PAC_DONATED
SXT,,,,,,PAC_DONATED
LIVN,,,,,,PAC_DONATED
GNW,,,,,,PAC_DONATED
BDX,,,,,,PAC_DONATED
PLTR,,,,,,PAC_DONATED
THO,,,,,,PAC_DONATED
KEY,,,,,,PAC_DONATED
URI,,,,,,PAC_DONATED
AAP,,,,,,PAC_DONATED
PARR,,,,,,PAC_DONATED
CNS,,,,,,PAC_DONATED
CWEN.A,,,,,,PAC_DONATED
TTD,,,,,,PAC_DONATED
VMI,,,,,,PAC_DONATED
LBRT,,,,,,PAC_DONATED
MSFT,True,False,1.0,0.0,0.0,PAC_NO_DONATIONS
TECH,,,,,,PAC_DONATED
NWE,,,,,,PAC_DONATED
SDGR,,,,,,PAC_DONATED
ENPH,,,,,,PAC_DONATED
SHW,,,,,,PAC_DONATED
B,,,,,,PAC_DONATED
CPRX,,,,,,PAC_DONATED
TFX,,,,,,PAC_DONATED
STAG,,,,,,PAC_DONATED
CTRA,,,,,,PAC_DONATED
PINC,,,,,,PAC_DONATED
FR,,,,,,PAC_DONATED
BFAM,,,,,,PAC_DONATED
