CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00002790,OLIN CORPORATION GOOD GOVERNMENT FUND,OLIN CORPORATION,Q,C,olin corporation good government,0.0,False,,
C00004952,ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION,ELECTRIC COOPERATIVES OF MISSISSIPPI,Q,C,electric cooperatives mississippi rural electrification,0.0,False,,
C00008151,FIRST HORIZON CORPORATION FEDERAL PAC,FIRST HORIZON CORPORATION,Q,C,first horizon corporation federal,0.0,False,,
C00008474,CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL),CITIGROUP INC.,Q,C,citigroup inc federal citigroup federal,0.0,False,,
C00010520,MEREDITH CORPORATION EMPLOYEES FUND FOR BETTER GOVERNMENT,MEREDITH CORPORATION EMPLOYEES FUND FOR BETTER GOVERNMENT,Q,C,meredith corporation better government,0.0,False,,
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),UBS AMERICAS INC.,Q,C,ubs americas inc ubs,0.0,False,,
C00012310,BLACK & VEATCH POLITICAL ACTION COMMITTEE (BLACK & VEATCH PAC),BLACK & VEATCH,Q,C,black veatch black veatch,0.0,False,,
C00018036,U.S. BANCORP POLITICAL PARTICIPATION PROGRAM,U.S. BANCORP FEDERAL POLITICAL ACTION COMMITTEE,Q,C,u s bancorp participation program,0.0,False,,
C00024869,GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC),GENERAL ELECTRIC COMPANY,Q,C,general electric company gepac,0.0,False,,
C00025395,PUBLIC SERVICE COMPANY OF NEW MEXICO RESPONSIBLE CITIZENS GROUP - FEDERAL,PUBLIC SERVICE CO OF NM,Q,C,public service company new mexico responsible citizens group federal,0.0,False,,
C00025536,"ZF AUTOMOTIVE US, INC. POLITICAL ACTION COMMITTEE (A/K/A ZF AUTOMOTIVE US PAC)","ZF AUTOMOTIVE US, INC.",Q,C,zf automotive us inc a k a zf automotive us,0.0,False,,
C00030676,UNITED STATES STEEL CORPORATION POLITICAL ACTION COMMITTEE,UNITED STATES STEEL CORPORATION,Q,C,united states steel corporation,0.0,False,,
C00032607,SYNOVUS FINANCIAL CORP. FUND FOR EFFECTIVE LEADERSHIP,SYNOVUS FINANCIAL CORP.,Q,C,synovus financial corp effective leadership,0.0,False,,
C00033423,"HSBC NORTH AMERICA FEDERAL, STATE AND LOCAL POLITICAL ACTION COMMITTEE (HSBC COMBINED PAC)",HSBC NORTH AMERICA,Q,C,hsbc north america federal state local hsbc combined,0.0,False,,
C00033555,"FLOWERS FOODS, INC. POLITICAL ACTION COMMITTEE",FLOWERS FOODS INC.,Q,C,flowers foods inc,0.0,False,,
C00033704,FMC CORPORATION GOOD GOVERNMENT PROGRAM,FMC CORPORATION,Q,C,fmc corporation good government program,0.0,False,,
C00033969,NOVARTIS CORPORATION POLITICAL ACTION COMMITTEE,NOVARTIS CORPORATION,Q,C,novartis corporation,0.0,False,,
C00034132,FLUOR CORPORATION POLITICAL ACTION COMMITTEE (FLUOR PAC),FLUOR CORPORATION,Q,C,fluor corporation fluor,0.0,False,,
C00034470,"DIAGEO NORTH AMERICA, INC.  EMPLOYEES' POLITICAL PARTICIPATION COMMITTEE","DIAGEO NORTH AMERICA, INC.",Q,C,diageo north america inc participation,0.0,False,,
C00034488,ANHEUSER-BUSCH COMPANIES INC. POLITICAL ACTION COMMITTEE,ANHEUSER-BUSCH COMPANIES INC.,Q,C,anheuser busch companies inc,0.0,False,,
C00034884,ALTICOR POLITICAL ACTION COMMITTEE ALTIPAC,"ALTICOR, INC",Q,C,alticor altipac,0.0,False,,
C00035675,BRISTOL-MYERS SQUIBB COMPANY POLITICAL ACTION COMMITTEE (BMS PAC),BRISTOL-MYERS SQUIBB COMPANY,Q,C,bristol myers squibb company bms,0.0,False,,
C00039503,SHELL OIL COMPANY EMPLOYEES' POLITICAL AWARENESS COMMITTEE,SHELL OIL COMPANY,Q,C,shell oil company awareness,0.0,False,,
