CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00002790,OLIN CORPORATION GOOD GOVERNMENT FUND,OLIN CORPORATION,Q,C,olin corporation good government,0.0,False,,
C00004952,ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION,ELECTRIC COOPERATIVES OF MISSISSIPPI,Q,C,electric cooperatives mississippi rural electrification,0.0,False,,
C00007070,TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC),TEXAS INSTRUMENTS INCORPORATED,Q,C,texas instruments incorporated ti,10000.0,true,2016,2022
C00007948,WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE,WEYERHAEUSER COMPANY,Q,C,weyerhaeuser company,98666.64,true,2016,2026
C00008151,FIRST HORIZON CORPORATION FEDERAL PAC,FIRST HORIZON CORPORATION,Q,C,first horizon corporation federal,0.0,False,,
C00008474,CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL),CITIGROUP INC.,Q,C,citigroup inc federal citigroup federal,0.0,False,,
C00009282,NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,NORFOLK SOUTHERN CORPORATION,Q,C,norfolk southern corporation good government,740461.5,true,2016,2026
C00009639,TRUIST FINANCIAL CORPORATION FEDERAL STATE & LOCAL POLITICAL ACTION COMMITTEE (FORMERLY SUNTRUST BANKS INC. MAIN STREET BANKERS PAC),TRUIST FINANCIAL CORPORATION,Q,C,truist financial corporation federal state local formerly suntrust banks inc main street bankers,7000.0,true,2016,2018
C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,UNION PACIFIC CORPORATION,Q,C,union pacific corp effective government,46490.44,true,2016,2016
C00010520,MEREDITH CORPORATION EMPLOYEES FUND FOR BETTER GOVERNMENT,MEREDITH CORPORATION EMPLOYEES FUND FOR BETTER GOVERNMENT,Q,C,meredith corporation better government,0.0,False,,
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),UBS AMERICAS INC.,Q,C,ubs americas inc ubs,0.0,False,,
C00012310,BLACK & VEATCH POLITICAL ACTION COMMITTEE (BLACK & VEATCH PAC),BLACK & VEATCH,Q,C,black veatch black veatch,0.0,False,,
C00012468,THE COCA-COLA COMPANY NONPARTISAN COMMITTEE FOR GOOD GOVERNMENT,THE COCA-COLA COMPANY,Q,C,coca cola company nonpartisan good government,46439.28,true,2016,2026
C00016683,PFIZER INC. PAC,PFIZER INC.,Q,C,pfizer inc,328433.43,true,2016,2026
C00017558,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,THE BANK OF NEW YORK MELLON CORPORATION,Q,C,bipartisan bank new york mellon corporation bipac bnymc,57158.51,true,2016,2026
C00017681,ALEXANDER AND BALDWIN INC FEDPAC,"ALEXANDER & BALDWIN, INC. (A HAWAII CORPORATION INCORPORATED ON MARCH 19, 2012)",Q,C,alexander baldwin inc fedpac,27048.0,true,2016,2020
C00018036,U.S. BANCORP POLITICAL PARTICIPATION PROGRAM,U.S. BANCORP FEDERAL POLITICAL ACTION COMMITTEE,Q,C,u s bancorp participation program,0.0,False,,
C00019653,EDISON INTERNATIONAL PAC,EDISON INTERNATIONAL,Q,C,edison international,57080.0,true,2016,2026
C00024349,ALASKA AIR GROUP INC. POLITICAL ACTION COMMITTEE,ALASKA AIR GROUP INC. POLITICAL ACTION COMMITTEE,Q,C,alaska air group inc,237700.0,true,2016,2026
C00024752,"MATSON, INC. FEDERAL ELECTION COMMITTEE","MATSON, INC. FEDERAL ELECTION COMMITTEE",Q,C,matson inc federal election,5900.0,true,2016,2020
C00024869,GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC),GENERAL ELECTRIC COMPANY,Q,C,general electric company gepac,0.0,False,,
C00025395,PUBLIC SERVICE COMPANY OF NEW MEXICO RESPONSIBLE CITIZENS GROUP - FEDERAL,PUBLIC SERVICE CO OF NM,Q,C,public service company new mexico responsible citizens group federal,0.0,False,,
