company,company_norm,ticker_candidates_str
"5E Advanced Materials, Inc.",5E ADVANCED MATERIALS,FEAM|FEAV
ACRES Commercial Realty Corp.,ACRES COMMERCIAL REALTY,ACR|ACR.PRC|ACR.PRD
"AFFILIATED MANAGERS GROUP, INC.",AFFILIATED MANAGERS,AMG|MGR|MGRB|MGRD|MGRE
"AG Mortgage Investment Trust, Inc.",AG MORTGAGE INVESTMENT TRUST,MITN|MITP|MITT|MITT.PRA|MITT.PRB|MITT.PRC
AGREE REALTY CORP,AGREE REALTY,ADC|ADC.PRA
Agriculture & Natural Solutions Acquisition Corp,AGRICULTURE AND NATURAL SOLUTIONS ACQUISITION,ANSC|ANSCU
"Aimei Health Technology Co., Ltd.",AIMEI HEALTH TECHNOLOGY,AFJK|AFJKR|AFJKU
ALBEMARLE CORP,ALBEMARLE,ALB|ALB.PRA
Alchemy Investments Acquisition Corp 1,ALCHEMY INVESTMENTS ACQUISITION CORP 1,ALCY|ALCYU
ALLSTATE CORP,ALLSTATE,ALL|ALL.PRB|ALL.PRH|ALL.PRI|ALL.PRJ
Alphabet Inc.,ALPHABET,GOOG|GOOGL
ALPHATIME ACQUISITION CORP,ALPHATIME ACQUISITION,ATMC|ATMCR|ATMCU
AlphaVest Acquisition Corp.,ALPHAVEST ACQUISITION,ATMV|ATMVR|ATMVU
ALTA EQUIPMENT GROUP INC.,ALTA EQUIPMENT,ALTG|ALTG.PRA
AltEnergy Acquisition Corp,ALTENERGY ACQUISITION,AEAE|AEAEU
Amcor plc,AMCOR,AMCCF|AMCR
Ameren Illinois Co,AMEREN ILLINOIS,AILIH|AILIM|AILIN|AILIO|AILIP|AILLI|AILLM|AILLN|AILLO|AILLP
AMERICAN FINANCIAL GROUP INC,AMERICAN FINANCIAL,AFG|AFGB|AFGC|AFGD|AFGE
American Homes 4 Rent,AMERICAN HOMES 4 RENT,AMH|AMH.PRG|AMH.PRH
"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTERNATIONAL,AIG|AMIH
AMERICAN INTERNATIONAL HOLDINGS CORP.,AMERICAN INTERNATIONAL,AIG|AMIH
Andretti Acquisition Corp. II,ANDRETTI ACQUISITION CORP II,POLE|POLEU
ANNALY CAPITAL MANAGEMENT INC,ANNALY CAPITAL MANAGEMENT,NLY|NLY.PRF|NLY.PRG|NLY.PRI|NLY.PRJ
"Apollo Global Management, Inc.",APOLLO GLOBAL MANAGEMENT,APO|APO.PRA|APOS
"APPLIED ENERGETICS, INC.",APPLIED ENERGETICS,AERG|AERGP
Aquaron Acquisition Corp.,AQUARON ACQUISITION,AQUC|AQUNR|AQUNU
ARBOR REALTY TRUST INC,ARBOR REALTY TRUST,ABR|ABR.PRD|ABR.PRE|ABR.PRF
ARCH CAPITAL GROUP LTD.,ARCH CAPITAL,ACGL|ACGLN|ACGLO
Ares Management Corp,ARES MANAGEMENT,ARES|ARES.PRB
"Armada Hoffler Properties, Inc.",ARMADA HOFFLER PROPERTIES,AHH|AHH.PRA
"Armour Residential REIT, Inc.",ARMOUR RESIDENTIAL REIT,ARR|ARR.PRC
Arogo Capital Acquisition Corp.,AROGO CAPITAL ACQUISITION,AOGO|AOGOU
ARTESIAN RESOURCES CORP,ARTESIAN RESOURCES,ARTNA|ARTNB
ASSOCIATED BANC-CORP,ASSOCIATED BANC,ASB|ASB.PRE|ASB.PRF|ASBA
