company,company_norm,ticker_candidates_str,TICKER_COMMON
"5E Advanced Materials, Inc.",5E ADVANCED MATERIALS,FEAM|FEAV,FEAM
ACRES Commercial Realty Corp.,ACRES COMMERCIAL REALTY,ACR|ACR.PRC|ACR.PRD,ACR
"AFFILIATED MANAGERS GROUP, INC.",AFFILIATED MANAGERS,AMG|MGR|MGRB|MGRD|MGRE,AMG
"AG Mortgage Investment Trust, Inc.",AG MORTGAGE INVESTMENT TRUST,MITN|MITP|MITT|MITT.PRA|MITT.PRB|MITT.PRC,MITN
AGREE REALTY CORP,AGREE REALTY,ADC|ADC.PRA,ADC
Agriculture & Natural Solutions Acquisition Corp,AGRICULTURE AND NATURAL SOLUTIONS ACQUISITION,ANSC|ANSCU,ANSC
"Aimei Health Technology Co., Ltd.",AIMEI HEALTH TECHNOLOGY,AFJK|AFJKR|AFJKU,AFJK
ALBEMARLE CORP,ALBEMARLE,ALB|ALB.PRA,ALB
Alchemy Investments Acquisition Corp 1,ALCHEMY INVESTMENTS ACQUISITION CORP 1,ALCY|ALCYU,ALCY
ALLSTATE CORP,ALLSTATE,ALL|ALL.PRB|ALL.PRH|ALL.PRI|ALL.PRJ,ALL
Alphabet Inc.,ALPHABET,GOOG|GOOGL,GOOG
ALPHATIME ACQUISITION CORP,ALPHATIME ACQUISITION,ATMC|ATMCR|ATMCU,ATMC
AlphaVest Acquisition Corp.,ALPHAVEST ACQUISITION,ATMV|ATMVR|ATMVU,ATMV
ALTA EQUIPMENT GROUP INC.,ALTA EQUIPMENT,ALTG|ALTG.PRA,ALTG
AltEnergy Acquisition Corp,ALTENERGY ACQUISITION,AEAE|AEAEU,AEAE
Amcor plc,AMCOR,AMCCF|AMCR,AMCCF
Ameren Illinois Co,AMEREN ILLINOIS,AILIH|AILIM|AILIN|AILIO|AILIP|AILLI|AILLM|AILLN|AILLO|AILLP,AILIH
AMERICAN FINANCIAL GROUP INC,AMERICAN FINANCIAL,AFG|AFGB|AFGC|AFGD|AFGE,AFG
American Homes 4 Rent,AMERICAN HOMES 4 RENT,AMH|AMH.PRG|AMH.PRH,AMH
"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTERNATIONAL,AIG|AMIH,AIG
Andretti Acquisition Corp. II,ANDRETTI ACQUISITION CORP II,POLE|POLEU,POLE
ANNALY CAPITAL MANAGEMENT INC,ANNALY CAPITAL MANAGEMENT,NLY|NLY.PRF|NLY.PRG|NLY.PRI|NLY.PRJ,NLY
"Apollo Global Management, Inc.",APOLLO GLOBAL MANAGEMENT,APO|APO.PRA|APOS,APO
"APPLIED ENERGETICS, INC.",APPLIED ENERGETICS,AERG|AERGP,AERG
Aquaron Acquisition Corp.,AQUARON ACQUISITION,AQUC|AQUNR|AQUNU,AQUC
ARBOR REALTY TRUST INC,ARBOR REALTY TRUST,ABR|ABR.PRD|ABR.PRE|ABR.PRF,ABR
ARCH CAPITAL GROUP LTD.,ARCH CAPITAL,ACGL|ACGLN|ACGLO,ACGL
Ares Management Corp,ARES MANAGEMENT,ARES|ARES.PRB,ARES
"Armada Hoffler Properties, Inc.",ARMADA HOFFLER PROPERTIES,AHH|AHH.PRA,AHH
"Armour Residential REIT, Inc.",ARMOUR RESIDENTIAL REIT,ARR|ARR.PRC,ARR
Arogo Capital Acquisition Corp.,AROGO CAPITAL ACQUISITION,AOGO|AOGOU,AOGO
ARTESIAN RESOURCES CORP,ARTESIAN RESOURCES,ARTNA|ARTNB,ARTNA
ASSOCIATED BANC-CORP,ASSOCIATED BANC,ASB|ASB.PRE|ASB.PRF|ASBA,ASB
"ASSURANT, INC.",ASSURANT,AIZ|AIZN,AIZ
ASTRONICS CORP,ASTRONICS,ATRO|ATROB,ATRO
AT&T INC.,AT AND T,T|T.PRA|T.PRC|TBB,T
Athena Technology Acquisition Corp. II,ATHENA TECHNOLOGY ACQUISITION CORP II,ATEK|ATEKU,ATEK
Athene Holding Ltd.,ATHENE,ATH.PRA|ATH.PRB|ATH.PRD|ATH.PRE|ATHS,ATHS
Atlantic Union Bankshares Corp,ATLANTIC UNION BANKSHARES,AUB|AUB.PRA,AUB
"AVITA Medical, Inc.",AVITA MEDICAL,AVHHL|RCEL,AVHHL
"B. Riley Financial, Inc.",B RILEY FINANCIAL,RILY|RILYG|RILYK|RILYL|RILYN|RILYP|RILYT|RILYZ,RILY
"Babcock & Wilcox Enterprises, Inc.",BABCOCK AND WILCOX ENTERPRISES,BW|BW.PRA|BWNB|BWSN,BW
