TICKER,ELECTION_CYCLE,COMMITTEE_NAME,COMMITTEE_TYPE_FULL,PARTY_NAME_FULL,RECEIPT_AMOUNT,cmte_norm,CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,match_method,match_score,best_norm,fuzzy_score
HBAN,2022,CONSUMER BANKERS ASSOCIATION PAC,PAC - Qualified,Other,10000.000000,CONSUMER BANKERS ASSOCIATION PAC,C00493312,S CORPORATION ASSOCIATION PAC (S-CORP PAC),THE S CORPORATION ASSOCIATION OF AMERICA,Q,T,FUZZY_REVIEW,93.75,S ASSOCIATION PAC S PAC,93.75
CI,2020,"BILL PASCRELL, JR. PUBLIC SERVICE FUND",PAC - Nonqualified,Democrat,2500.000000,BILL PASCRELL JR PUBLIC SERVICE FUND,C00678391,PUBLIC SERVICE 44 FUND,,H,,FUZZY_REVIEW,92.6829268292683,PUBLIC SERVICE 44 FUND,92.6829268292683
HAL,2022,AEG PAC,PAC - Qualified,Republican,2500.000000,AEG PAC,C00900886,AG PAC,,N,,FUZZY_REVIEW,92.3076923076923,AG PAC,92.3076923076923
GOOGL,2020,GW PAC,PAC - Qualified,Republican,2500.000000,GW PAC,C00558734,G PAC,NONE,N,,FUZZY_REVIEW,90.9090909090909,G PAC,90.9090909090909
XOM,2022,LIQUID ENERGY PIPELINE ASSOCIATION PAC,PAC - Qualified,Dark PAC,5000.000000,LIQUID ENERGY PIPELINE ASSOCIATION PAC,C00493312,S CORPORATION ASSOCIATION PAC (S-CORP PAC),THE S CORPORATION ASSOCIATION OF AMERICA,Q,T,FUZZY_REVIEW,93.75,S ASSOCIATION PAC S PAC,93.75
CMA,2022,AEG PAC,PAC - Qualified,Republican,1000.000000,AEG PAC,C00900886,AG PAC,,N,,FUZZY_REVIEW,92.3076923076923,AG PAC,92.3076923076923
TMUS,2022,AEG PAC,PAC - Qualified,Republican,1000.000000,AEG PAC,C00900886,AG PAC,,N,,FUZZY_REVIEW,92.3076923076923,AG PAC,92.3076923076923
CAH,2020,GW PAC,PAC - Qualified,Republican,5000.000000,GW PAC,C00558734,G PAC,NONE,N,,FUZZY_REVIEW,90.9090909090909,G PAC,90.9090909090909
DUK,2020,GW PAC,PAC - Qualified,Republican,5000.000000,GW PAC,C00558734,G PAC,NONE,N,,FUZZY_REVIEW,90.9090909090909,G PAC,90.9090909090909
C,2022,AEG PAC,PAC - Qualified,Republican,2000.000000,AEG PAC,C00900886,AG PAC,,N,,FUZZY_REVIEW,92.3076923076923,AG PAC,92.3076923076923
DIS,2020,GW PAC,PAC - Qualified,Republican,5000.000000,GW PAC,C00558734,G PAC,NONE,N,,FUZZY_REVIEW,90.9090909090909,G PAC,90.9090909090909
CBSH,2024,CONSUMER BANKERS ASSOCIATION PAC,PAC - Qualified,Other,2500.000000,CONSUMER BANKERS ASSOCIATION PAC,C00493312,S CORPORATION ASSOCIATION PAC (S-CORP PAC),THE S CORPORATION ASSOCIATION OF AMERICA,Q,T,FUZZY_REVIEW,93.75,S ASSOCIATION PAC S PAC,93.75
TFC,2022,CONSUMER BANKERS ASSOCIATION PAC,PAC - Qualified,Other,10000.000000,CONSUMER BANKERS ASSOCIATION PAC,C00493312,S CORPORATION ASSOCIATION PAC (S-CORP PAC),THE S CORPORATION ASSOCIATION OF AMERICA,Q,T,FUZZY_REVIEW,93.75,S ASSOCIATION PAC S PAC,93.75
AMP,2020,AEG PAC,PAC - Qualified,Republican,1000.000000,AEG PAC,C00900886,AG PAC,,N,,FUZZY_REVIEW,92.3076923076923,AG PAC,92.3076923076923
CNC,2020,GW PAC,PAC - Qualified,Republican,2500.000000,GW PAC,C00558734,G PAC,NONE,N,,FUZZY_REVIEW,90.9090909090909,G PAC,90.9090909090909
MCD,2020,GFC PAC,PAC - Nonqualified,Republican,1000.000000,GFC PAC,C00882555,FC PAC,NONE,O,,FUZZY_REVIEW,92.3076923076923,FC PAC,92.3076923076923
AMZN,2020,GFC PAC,PAC - Nonqualified,Republican,1000.000000,GFC PAC,C00882555,FC PAC,NONE,O,,FUZZY_REVIEW,92.3076923076923,FC PAC,92.3076923076923
CGNX,2024,THE GARVEY LEADERSHIP PAC,PAC - Nonqualified,Republican,2500.000000,GARVEY LEADERSHIP PAC,C00767616,NH LEADERSHIP PAC,NONE,N,,FUZZY_REVIEW,90.3225806451613,NH LEADERSHIP PAC,90.3225806451613
FIS,2020,AEG PAC,PAC - Qualified,Republican,1000.000000,AEG PAC,C00900886,AG PAC,,N,,FUZZY_REVIEW,92.3076923076923,AG PAC,92.3076923076923
HII,2020,GFC PAC,PAC - Nonqualified,Republican,1000.000000,GFC PAC,C00882555,FC PAC,NONE,O,,FUZZY_REVIEW,92.3076923076923,FC PAC,92.3076923076923
DOW,2020,GW PAC,PAC - Qualified,Republican,2500.000000,GW PAC,C00558734,G PAC,NONE,N,,FUZZY_REVIEW,90.9090909090909,G PAC,90.9090909090909
BAC,2020,GFC PAC,PAC - Nonqualified,Republican,2500.000000,GFC PAC,C00882555,FC PAC,NONE,O,,FUZZY_REVIEW,92.3076923076923,FC PAC,92.3076923076923
MDT,2020,GW PAC,PAC - Qualified,Republican,3000.000000,GW PAC,C00558734,G PAC,NONE,N,,FUZZY_REVIEW,90.9090909090909,G PAC,90.9090909090909
BA,2024,THE GARVEY LEADERSHIP PAC,PAC - Nonqualified,Republican,1000.000000,GARVEY LEADERSHIP PAC,C00767616,NH LEADERSHIP PAC,NONE,N,,FUZZY_REVIEW,90.3225806451613,NH LEADERSHIP PAC,90.3225806451613
INTC,2020,GW PAC,PAC - Qualified,Republican,2500.000000,GW PAC,C00558734,G PAC,NONE,N,,FUZZY_REVIEW,90.9090909090909,G PAC,90.9090909090909
HD,2022,"BILL PASCRELL, JR. PUBLIC SERVICE FUND",PAC - Nonqualified,Democrat,5000.000000,BILL PASCRELL JR PUBLIC SERVICE FUND,C00678391,PUBLIC SERVICE 44 FUND,,H,,FUZZY_REVIEW,92.6829268292683,PUBLIC SERVICE 44 FUND,92.6829268292683
LMT,2024,THE GARVEY LEADERSHIP PAC,PAC - Nonqualified,Republican,1000.000000,GARVEY LEADERSHIP PAC,C00767616,NH LEADERSHIP PAC,NONE,N,,FUZZY_REVIEW,90.3225806451613,NH LEADERSHIP PAC,90.3225806451613
WMT,2022,"BILL PASCRELL, JR. PUBLIC SERVICE FUND",PAC - Nonqualified,Democrat,1000.000000,BILL PASCRELL JR PUBLIC SERVICE FUND,C00678391,PUBLIC SERVICE 44 FUND,,H,,FUZZY_REVIEW,92.6829268292683,PUBLIC SERVICE 44 FUND,92.6829268292683
