company,company_norm
21Shares Core Ethereum ETF,21SHARES CORE ETHEREUM ETF
"2seventy bio, Inc.",2SEVENTY BIO
A.K.A. BRANDS HOLDING CORP.,A K A BRANDS
"Aadi Bioscience, Inc.",AADI BIOSCIENCE
"Abacus Life, Inc.",ABACUS LIFE
abrdn Gold ETF Trust,ABRDN GOLD ETF TRUST
"Accelerate Diagnostics, Inc",ACCELERATE DIAGNOSTICS
"Accolade, Inc.",ACCOLADE
"ACELYRIN, Inc.",ACELYRIN
Aceztech Corp,ACEZTECH
"Acreage Holdings, Inc.",ACREAGE
ACUITY BRANDS INC,ACUITY BRANDS
"ADAMS RESOURCES & ENERGY, INC.",ADAMS RESOURCES AND ENERGY
AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,AEI INCOME AND GROWTH FUND XXII LTD PARTNERSHIP
"Aerovate Therapeutics, Inc.",AEROVATE THERAPEUTICS
AGCO CORP /DE,AGCO CORP DE
Agrify Corp,AGRIFY
AI Transportation Acquisition Corp,AI TRANSPORTATION ACQUISITION
"Aileron Therapeutics, Inc.",AILERON THERAPEUTICS
"Air Transport Services Group, Inc.",AIR TRANSPORT SERVICES
Aircastle LTD,AIRCASTLE
"Akoustis Technologies, Inc.",AKOUSTIS TECHNOLOGIES
"Akoya Biosciences, Inc.",AKOYA BIOSCIENCES
"Alexander & Baldwin, Inc.",ALEXANDER AND BALDWIN
ALEXANDERS INC,ALEXANDERS
"Alight, Inc. / Delaware",ALIGHT INC DELAWARE
Allakos Inc.,ALLAKOS
"Allovir, Inc.",ALLOVIR
Altair Engineering Inc.,ALTAIR ENGINEERING
ALTAIR INTERNATIONAL CORP.,ALTAIR INTERNATIONAL
ALTISOURCE PORTFOLIO SOLUTIONS S.A.,ALTISOURCE PORTFOLIO SOLUTIONS S A
"Altus Power, Inc.",ALTUS POWER
AMEDISYS INC,AMEDISYS
AMERICAS CARMART INC,AMERICAS CARMART
"AMMO, INC.",AMMO
ANSYS INC,ANSYS
APPLIED MATERIALS INC /DE,APPLIED MATERIALS INC DE
APx Acquisition Corp. I,APX ACQUISITION CORP I
Arcadium Lithium plc,ARCADIUM LITHIUM
"ARCH RESOURCES, INC.",ARCH RESOURCES
"Ardent Health Partners, Inc.",ARDENT HEALTH PARTNERS
"Argo Group International Holdings, Inc.",ARGO GROUP INTERNATIONAL
"Aris Water Solutions, Inc.",ARIS WATER SOLUTIONS
ARTS WAY MANUFACTURING CO INC,ARTS WAY MANUFACTURING
