company,company_norm,looks_like_fund_or_etf
21Shares Core Ethereum ETF,21SHARES CORE ETHEREUM ETF,True
"2seventy bio, Inc.",2SEVENTY BIO,False
A.K.A. BRANDS HOLDING CORP.,A K A BRANDS,False
"Aadi Bioscience, Inc.",AADI BIOSCIENCE,False
"Abacus Life, Inc.",ABACUS LIFE,False
abrdn Gold ETF Trust,ABRDN GOLD ETF TRUST,True
"Accelerate Diagnostics, Inc",ACCELERATE DIAGNOSTICS,False
"Accolade, Inc.",ACCOLADE,False
"ACELYRIN, Inc.",ACELYRIN,False
Aceztech Corp,ACEZTECH,False
"Acreage Holdings, Inc.",ACREAGE,False
ACUITY BRANDS INC,ACUITY BRANDS,False
"ADAMS RESOURCES & ENERGY, INC.",ADAMS RESOURCES AND ENERGY,False
AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,AEI INCOME AND GROWTH FUND XXII LTD PARTNERSHIP,True
"Aerovate Therapeutics, Inc.",AEROVATE THERAPEUTICS,False
AGCO CORP /DE,AGCO CORP DE,False
Agrify Corp,AGRIFY,False
AI Transportation Acquisition Corp,AI TRANSPORTATION ACQUISITION,False
"Aileron Therapeutics, Inc.",AILERON THERAPEUTICS,False
"Air Transport Services Group, Inc.",AIR TRANSPORT SERVICES,False
Aircastle LTD,AIRCASTLE,False
"Akoustis Technologies, Inc.",AKOUSTIS TECHNOLOGIES,False
"Akoya Biosciences, Inc.",AKOYA BIOSCIENCES,False
"Alexander & Baldwin, Inc.",ALEXANDER AND BALDWIN,False
ALEXANDERS INC,ALEXANDERS,False
"Alight, Inc. / Delaware",ALIGHT INC DELAWARE,False
Allakos Inc.,ALLAKOS,False
"Allovir, Inc.",ALLOVIR,False
Altair Engineering Inc.,ALTAIR ENGINEERING,False
ALTAIR INTERNATIONAL CORP.,ALTAIR INTERNATIONAL,False
ALTISOURCE PORTFOLIO SOLUTIONS S.A.,ALTISOURCE PORTFOLIO SOLUTIONS S A,True
"Altus Power, Inc.",ALTUS POWER,False
AMEDISYS INC,AMEDISYS,False
AMERICAS CARMART INC,AMERICAS CARMART,False
"AMMO, INC.",AMMO,False
ANSYS INC,ANSYS,False
APPLIED MATERIALS INC /DE,APPLIED MATERIALS INC DE,False
APx Acquisition Corp. I,APX ACQUISITION CORP I,False
Arcadium Lithium plc,ARCADIUM LITHIUM,False
"ARCH RESOURCES, INC.",ARCH RESOURCES,False
"Ardent Health Partners, Inc.",ARDENT HEALTH PARTNERS,False
"Argo Group International Holdings, Inc.",ARGO GROUP INTERNATIONAL,False
"Aris Water Solutions, Inc.",ARIS WATER SOLUTIONS,False
ARTS WAY MANUFACTURING CO INC,ARTS WAY MANUFACTURING,False
ASPAC II Acquisition Corp.,ASPAC II ACQUISITION,False
ASPAC III Acquisition Corp.,ASPAC III ACQUISITION,False
"Aspen Technology, Inc.",ASPEN TECHNOLOGY,False
Asset Entities Inc.,ASSET ENTITIES,False
ATAI Life Sciences N.V.,ATAI LIFE SCIENCES N V,False
"ATHERSYS, INC / NEW",ATHERSYS INC NEW,False
"ATI Physical Therapy, Inc.",ATI PHYSICAL THERAPY,False
"AvidXchange Holdings, Inc.",AVIDXCHANGE,False
Avinger Inc,AVINGER,False
"AYRO, Inc.",AYRO,False
AZEK Co Inc.,AZEK,False
BANK OF THE JAMES FINANCIAL GROUP INC,BANK OF THE JAMES FINANCIAL,False
Bannix Acquisition Corp.,BANNIX ACQUISITION,False
BARNES GROUP INC,BARNES,False
Battery Future Acquisition Corp.,BATTERY FUTURE ACQUISITION,False
Bausch & Lomb Corp,BAUSCH AND LOMB,False
BEACON ROOFING SUPPLY INC,BEACON ROOFING SUPPLY,False
"BeiGene, Ltd.",BEIGENE,False
BEL FUSE INC /NJ,BEL FUSE INC NJ,False
Bellevue Life Sciences Acquisition Corp.,BELLEVUE LIFE SCIENCES ACQUISITION,False
"Benson Hill, Inc.",BENSON HILL,False
BERKLEY W R CORP,BERKLEY W R,False
BERKSHIRE HILLS BANCORP INC,BERKSHIRE HILLS BANCORP,False
Berry Corp (bry),BERRY CORP BRY,False
"BERRY GLOBAL GROUP, INC.",BERRY GLOBAL,False
Better Choice Co Inc.,BETTER CHOICE,False
"BEYOND, INC.",BEYOND,False
BIG 5 SPORTING GOODS Corp,BIG 5 SPORTING GOODS,False
"BigCommerce Holdings, Inc.",BIGCOMMERCE,False
BIONOMICS LIMITED/FI,BIONOMICS LIMITED FI,False
"BioSig Technologies, Inc.",BIOSIG TECHNOLOGIES,False
Bitech Technologies Corp,BITECH TECHNOLOGIES,False
Bitwise Bitcoin ETF,BITWISE BITCOIN ETF,True
BJs RESTAURANTS INC,BJS RESTAURANTS,False
Black Spade Acquisition II Co,BLACK SPADE ACQUISITION II,False
"Blade Air Mobility, Inc.",BLADE AIR MOBILITY,False
"Blubuzzard, Inc.",BLUBUZZARD,False
Blue Ocean Acquisition Corp,BLUE OCEAN ACQUISITION,False
Blue Owl Capital Corp III,BLUE OWL CAPITAL CORP III,False
"bluebird bio, Inc.",BLUEBIRD BIO,False
Blueprint Medicines Corp,BLUEPRINT MEDICINES,False
"BM Technologies, Inc.",BM TECHNOLOGIES,False
"BOTS, Inc./PR",BOTS INC PR,False
Breeze Holdings Acquisition Corp.,BREEZE HOLDINGS ACQUISITION,False
Bridge Investment Group Holdings Inc.,BRIDGE INVESTMENT,False
Bright Green Corp,BRIGHT GREEN,False
BRIGHTCOVE INC,BRIGHTCOVE,False
BrightSphere Investment Group Inc.,BRIGHTSPHERE INVESTMENT,False
Broad Capital Acquisition Corp,BROAD CAPITAL ACQUISITION,False
BROADWAY FINANCIAL CORP DE,BROADWAY FINANCIAL CORP DE,False
BROOKLINE BANCORP INC,BROOKLINE BANCORP,False
Bukit Jalil Global Acquisition 1 Ltd.,BUKIT JALIL GLOBAL ACQUISITION 1,False
"BurgerFi International, Inc.",BURGERFI INTERNATIONAL,False
BurTech Acquisition Corp.,BURTECH ACQUISITION,False
"C. H. ROBINSON WORLDWIDE, INC.",C H ROBINSON WORLDWIDE,False
California BanCorp \ CA,CALIFORNIA BANCORP CA,False
"Calumet, Inc. /DE",CALUMET INC DE,False
CANADIAN PACIFIC KANSAS CITY LTD/CN,CANADIAN PACIFIC KANSAS CITY LTD CN,False
"Capstone Green Energy Holdings, Inc.",CAPSTONE GREEN ENERGY,False
"Cara Therapeutics, Inc.",CARA THERAPEUTICS,False
"CareMax, Inc.",CAREMAX,False
"CARGO Therapeutics, Inc.",CARGO THERAPEUTICS,False
Carmell Corp,CARMELL,False
CARTERS INC,CARTERS,False
Cartesian Growth Corp II,CARTESIAN GROWTH CORP II,False
"Catalent, Inc.",CATALENT,False
"Cepton, Inc.",CEPTON,False
CF Acquisition Corp. VII,CF ACQUISITION CORP VII,False
"Checkpoint Therapeutics, Inc.",CHECKPOINT THERAPEUTICS,False
Chenghe Acquisition I Co.,CHENGHE ACQUISITION I,False
Chenghe Acquisition II Co.,CHENGHE ACQUISITION II,False
"Childrens Place, Inc.",CHILDRENS PLACE,False
CHIMERIX INC,CHIMERIX,False
"China Green Agriculture, Inc.",CHINA GREEN AGRICULTURE,False
CHOICE HOTELS INTERNATIONAL INC /DE,CHOICE HOTELS INTERNATIONAL INC DE,False
ChromaDex Corp.,CHROMADEX,False
Churchill Capital Corp IX/Cayman,CHURCHILL CAPITAL CORP IX CAYMAN,False
CION Ares Diversified Credit Fund,CION ARES DIVERSIFIED CREDIT FUND,True
CITIZENS FINANCIAL GROUP INC/RI,CITIZENS FINANCIAL GROUP INC RI,False
ClimateRock,CLIMATEROCK,False
"CLOVER HEALTH INVESTMENTS, CORP. /DE",CLOVER HEALTH INVESTMENTS CORP DE,False
"CLS Holdings USA, Inc.",CLS HOLDINGS USA,False
CNB FINANCIAL CORP/PA,CNB FINANCIAL CORP PA,False
CNH Industrial N.V.,CNH INDUSTRIAL N V,False
COASTAL FINANCIAL CORP,COASTAL FINANCIAL,False
Cohen Circle Acquisition Corp. I,COHEN CIRCLE ACQUISITION CORP I,False
"Coherus BioSciences, Inc.",COHERUS BIOSCIENCES,False
CoinShares Valkyrie Bitcoin Fund,COINSHARES VALKYRIE BITCOIN FUND,True
Coliseum Acquisition Corp.,COLISEUM ACQUISITION,False
COMMUNITY BANCORP /VT,COMMUNITY BANCORP VT,False
"Conifer Holdings, Inc.",CONIFER,False
CONNECTICUT LIGHT & POWER CO,CONNECTICUT LIGHT AND POWER,False
Connexa Sports Technologies Inc.,CONNEXA SPORTS TECHNOLOGIES,False
CONNS INC,CONNS,False
CONSOL Energy Inc.,CONSOL ENERGY,False
"Consolidated Communications Holdings, Inc.",CONSOLIDATED COMMUNICATIONS,False
"Container Store Group, Inc.",CONTAINER STORE,False
"Core Scientific, Inc./tx",CORE SCIENTIFIC INC TX,False
CORNING INC /NY,CORNING INC NY,False
COSTCO WHOLESALE CORP /NEW,COSTCO WHOLESALE CORP NEW,False
"Couchbase, Inc.",COUCHBASE,False
Criteo S.A.,CRITEO S A,False
Cyber App Solutions Corp.,CYBER APP SOLUTIONS,False
DallasNews Corp,DALLASNEWS,False
Damon Inc.,DAMON,False
"Danimer Scientific, Inc.",DANIMER SCIENTIFIC,False
Dave Inc./DE,DAVE INC DE,False
DBV Technologies S.A.,DBV TECHNOLOGIES S A,False
Denali Capital Acquisition Corp.,DENALI CAPITAL ACQUISITION,False
"DermTech, Inc.",DERMTECH,False
"Desktop Metal, Inc.",DESKTOP METAL,False
DEVON ENERGY CORP/DE,DEVON ENERGY CORP DE,False
Discover Financial Services,DISCOVER FINANCIAL SERVICES,False
Distoken Acquisition Corp,DISTOKEN ACQUISITION,False
"Dogecoin Cash, Inc.",DOGECOIN CASH,False
DOMINOS PIZZA INC,DOMINOS PIZZA,False
"Duckhorn Portfolio, Inc.",DUCKHORN PORTFOLIO,True
"Dun & Bradstreet Holdings, Inc.",DUN AND BRADSTREET,False
"e.l.f. Beauty, Inc.",E L F BEAUTY,False
"E2open Parent Holdings, Inc.",E2OPEN PARENT,False
"Eastside Distilling, Inc.",EASTSIDE DISTILLING,False
"ECO SCIENCE SOLUTIONS, INC.",ECO SCIENCE SOLUTIONS,False
"Edgio, Inc.",EDGIO,False
Elastic N.V.,ELASTIC N V,False
Elevai Labs Inc.,ELEVAI LABS,False
"Elevation Oncology, Inc.",ELEVATION ONCOLOGY,False
"Eline Entertainment Group, Inc.",ELINE ENTERTAINMENT,False
Elite Health Systems Inc.,ELITE HEALTH SYSTEMS,False
Embrace Change Acquisition Corp.,EMBRACE CHANGE ACQUISITION,False
EMCORE CORP,EMCORE,False
Emo Capital Corp.,EMO CAPITAL,False
"Empire State Realty OP, L.P.",EMPIRE STATE REALTY OP,False
"Endeavor Group Holdings, Inc.",ENDEAVOR,False
ENDI Corp.,ENDI,False
"Endo, Inc.",ENDO,False
"ENERGY FOCUS, INC/DE",ENERGY FOCUS INC DE,False
