COMMITTEE_NAME,rows
CMR WA PAC,426
"ANDY BARR FOR SENATE, INC.",379
JOHN CURTIS FOR UTAH,333
ADF PAC,288
BUDDY CARTER FOR SENATE,276
DIGNITY OF WORK PAC,264
ASHLEY FOR IOWA,237
WAGING PEACE,215
OHIO BELIEF PAC,211
BANKS FOR SENATE,196
HOOSIERDOC PAC,175
TED BUDD FOR SENATE,172
TAX CUTS & JOBS PAC,169
MCSALLY PAC,154
TOM REED PAC,129
BUILDING BRIDGES PAC,127
VDUSS PAC,125
SETH FOR MASSACHUSETTS,123
HUNT FOR SENATE,121
PORTPAC,117
EB4C PAC,113
ANDY KIM FOR NEW JERSEY,107
WORKERS FIRST PAC,107
FRIENDS OF COLIN ALLRED 2024,100
WILEY NICKEL FOR NORTH CAROLINA,83
BO 34 PAC,78
BILLY LONG FOR SENATE,76
BUCK PAC,72
CHRIS PAPPAS FOR SENATE,72
THE LONG RUN PAC,71
SOCK IT TO 'EM PAC,70
MISSOURI FRB PAC,66
CONOR LAMB FOR SENATE,62
HMP,59
VICKY HARTZLER FOR SENATE,57
DISTRICTS FOR DEMOCRACY,57
AL GROSS NORTHERN LEADERSHIP,52
DONNA DEMOCRATS,49
TRIED-AND-TRUE PAC,48
BELL FOR MISSOURI,46
SENATE FUTURE FUND,43
BEYOND THOUGHTS AND PRAYERS PAC,33
HEARTLAND PATRIOTS,32
BARRY MOORE FOR U.S. SENATE,29
WINTHECENTER PAC,28
RENEW NEW YORK,27
SURAJ PATEL 2022,25
KIRSTEN PAC,23
RISING ELECTORATE PAC,23
KENDRA HORN FOR SENATE,22
