company_name,cik,has_exhibit21,reason,subsidiary_count,subsidiary_name_raw,subsidiary_name_clean,exhibit21_url
1895 Bancorp Of Wisconsin Inc,1847360,True,Exhibit-21 found,2,"PyraMax Bank, FSB",pyramax bank fsb,https://www.sec.gov/Archives/edgar/data/1847360/000095017024038577/bcow-ex21.htm
1895 Bancorp Of Wisconsin Inc,1847360,True,Exhibit-21 found,2,"PyraMax Insurance Services LLC (a wholly owned subsidiary of PyraMax Bank, FSB)",pyramax insurance services (a wholly owned subsidiary of pyramax bank fsb),https://www.sec.gov/Archives/edgar/data/1847360/000095017024038577/bcow-ex21.htm
1stdibs.com Inc,1600641,True,Exhibit-21 found,1,"1stdibs.com, Ltd",1stdibscom,https://www.sec.gov/Archives/edgar/data/1600641/000160064125000011/ex211subsidiariesof1stdibs.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"22nd Century Limited, LLC",22nd century,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"Goodrich Tobacco Company, LLC",goodrich tobacco,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"Heracles Pharmaceuticals, LLC",heracles pharmaceuticals,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"NASCO Products, LLC",nasco products,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"Botanical Genetics, LLC",botanical genetics,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,22nd Century Group Europe B.V.,22nd century group europe bv,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"22nd Century Group Canada, Inc.",22nd century group canada,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"22nd Century Holdings, LLC",22nd century holdings,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"Golden Acquisition Sub, LLC",golden acquisition sub,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"ESI Holdings, LLC",esi holdings,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"PTB Investment Holdings, LLC",ptb investment holdings,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"BridgeWay Distribution, LLC",bridgeway distribution,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
22Nd Century Group Inc,1347858,True,Exhibit-21 found,13,"Nasco Exports, LLC",nasco exports,https://www.sec.gov/Archives/edgar/data/1347858/000155837025003345/xxii-20241231xex21d1.htm
374Water Inc,933972,True,Exhibit-21 found,2,"374Water Systems, Inc.",374water systems,https://www.sec.gov/Archives/edgar/data/933972/000165495425003443/scwo_ex211.htm
374Water Inc,933972,True,Exhibit-21 found,2,374Water Sustainability LTD,374water sustainability,https://www.sec.gov/Archives/edgar/data/933972/000165495425003443/scwo_ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,3D Canada Company,3d canada,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,3D European Holdings Ltd.,3d european holdings,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"3D Holdings, LLC",3d holdings,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,3D Latam LLC,3d latam,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,3D Systems Asia-Pacific Pty Ltd,3d systems asia-pacific pty,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,3D Systems Europe Ltd.,3d systems europe,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"3D Systems Hong Kong Co., Limited",3d systems hong kong,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"3D Systems India, Inc.",3d systems india,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"3D Systems Korea, Inc.",3d systems korea,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"3D Systems, Inc.",3d systems,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,3DS Additive Israel Ltd,3ds additive israel,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"AMT, Inc.",amt,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Geomagic (Shanghai) Software Co., Ltd.",geomagic (shanghai) software,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Geomagic, Inc.",geomagic,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Kumovis, Inc.",kumovis,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"LayerWise, Inc.",layerwise,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,Medical Modeling Inc.,medical modeling,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,OptoForm LLC (a),optoform (a),https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,Oqton Shanghai Ltd.,oqton shanghai,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Oqton, Inc.",oqton,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,Product Development Group LLC,product development group,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Quickparts.com, Inc.",quickpartscom,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Rapidform, Inc.",rapidform,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Shanghai Forever Technology & Development Co., Ltd.",shanghai forever technology & development,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,Shemesh Printing Merger Company 2023 Ltd.,shemesh printing merger 2023,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Systemic Bio, LLC",systemic bio,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,Titan Additive LLC,titan additive,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,Vertex-Dental Asia PTE Ltd,vertex-dental asia pte,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,VIDAR Systems LLC,vidar systems,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Volumetric Biotechnologies, Inc.",volumetric biotechnologies,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
3D Systems Corp,910638,True,Exhibit-21 found,31,"Wuxi Easyway Model Design & Manufacture Co, Ltd.",wuxi easyway model design & manufacture,https://www.sec.gov/Archives/edgar/data/910638/000091063825000005/ddd-2024_12x31ex211.htm
89Bio Inc,1018724,True,Exhibit-21 found,9,Amazon.com Services LLC,amazoncom services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231xex211.htm
89Bio Inc,1018724,True,Exhibit-21 found,9,"Amazon.com Sales, Inc.",amazoncom sales,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231xex211.htm
89Bio Inc,1018724,True,Exhibit-21 found,9,"Amazon Data Services, Inc.",amazon data services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231xex211.htm
89Bio Inc,1018724,True,Exhibit-21 found,9,"Amazon Web Services, Inc.",amazon web services,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231xex211.htm
89Bio Inc,1018724,True,Exhibit-21 found,9,"Amazon Technologies, Inc.",amazon technologies,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231xex211.htm
89Bio Inc,1018724,True,Exhibit-21 found,9,Amazon.com NV Investment Holdings LLC,amazoncom nv investment holdings,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231xex211.htm
