email_date,company,industry,subsidiary_of,section_type,event_type,executive_name,old_position,new_position,effective_date,posted_date,raw_event_text
2026-03-01T00:23:16+00:00,7-Eleven,Retail,Seven & I,Changes,became,Treasa Bowers,Executive Vice President and Chief Human Resources Officer,"Executive Vice President, Chief People and Sustainability Officer (posted on February 12).Marissa Jarratt, Executive Vice President and Chief Marketing & Sustainability Officer, has left the company",,12-Feb,"Treasa Bowers who was Executive Vice President and Chief Human Resources Officer, becomes Executive Vice President, Chief People and Sustainability Officer (posted on February 12).Marissa Jarratt, Executive Vice President and Chief Marketing & Sustainability Officer, has left the company (posted on February 12)."
2026-03-01T00:23:16+00:00,A.P. Moller Capital,Fund,Maersk,Appointments,joined,Soline Minière,,Investment Director,,19-Feb,Soline Minière has joined the company as Investment Director (posted on February 19).
2026-03-01T00:23:16+00:00,ABB Robotics,Machinery,ABB,Appointments,joined,Praveen Voona,,"Human Resources Leader, People and Culture Business Partner for India, Middle East and Africa",,26-Feb,"Praveen Voona has joined the company as Human Resources Leader, People and Culture Business Partner for India, Middle East and Africa (posted on February 26)."
2026-03-01T00:23:16+00:00,Abbott India,Pharmaceuticals,Abbott Asia,Appointments,joined,Nilesh P,,"Head of Marketing, Vaccines",,19-Feb,"Nilesh P has joined the company as Head of Marketing, Vaccines (posted on February 19)."
2026-03-01T00:23:16+00:00,Accenture France & Benelux,Business Services,Accenture Europe,Changes,will_leave,Koen Deryckere,President of France and Benelux,,1-May-26,25-Feb,"Koen Deryckere, President of France and Benelux, will leave the company on May 1, 2026 (posted on February 25)."
2026-03-01T00:23:16+00:00,Accenture India,Business Services,Accenture,Appointments,joined,Supriya Brahme-Moghe,,"Vice President of Research and Development Operations, Life Sciences",,3-Feb,"Supriya Brahme-Moghe has joined the company as Vice President of Research and Development Operations, Life Sciences (posted on February 3)."
2026-03-01T00:23:16+00:00,Accenture India,Business Services,Accenture,Appointments,joined,Vaishali Chaudhry,,Associate Tech Architect Director,,3-Feb,Vaishali Chaudhry has joined the company as Associate Tech Architect Director (posted on February 3).
2026-03-01T00:23:16+00:00,Accenture India,Business Services,Accenture,Appointments,joined,Hrushikesh Dindorkar,,"Associate Vice President of Transition (posted on February 3). Brijesh Thavasiah has joined the company as Workplace Delivery, Operational Excellence and Customer Relationship Management Director",,3-Feb,"Hrushikesh Dindorkar has joined the company as Associate Vice President of Transition (posted on February 3). Brijesh Thavasiah has joined the company as Workplace Delivery, Operational Excellence and Customer Relationship Management Director (posted on February 3)."
2026-03-01T00:23:16+00:00,Accenture India,Business Services,Accenture,Changes,left,Bhaskar Ghosh,Chief Strategy Officer,,,3-Feb,"Bhaskar Ghosh, Chief Strategy Officer, has left the company (posted on February 3)."
2026-03-01T00:23:16+00:00,Acenda,Insurance,Nippon Life,Appointments,joined,Ross Miller,,Chief People and Culture Officer,,23-Feb,Ross Miller has joined the company as Chief People and Culture Officer (posted on February 23).
2026-03-01T00:23:16+00:00,Acenda,Insurance,Nippon Life,Changes,became,Gerard Kerr,"Chief Executive, Individual Business",Chief Growth Officer,,13-Feb,"Gerard Kerr who was Chief Executive, Individual Business, becomes Chief Growth Officer (posted on February 13)."
2026-03-01T00:23:16+00:00,Acenda,Insurance,Nippon Life,Changes,became,Dean Mulheron,Chief Product and Marketing Officer,Chief Product Officer,,13-Feb,"Dean Mulheron who was Chief Product and Marketing Officer, becomes Chief Product Officer (posted on February 13)."
2026-03-01T00:23:16+00:00,ACS Group,Construction,,Appointments,joined,Karissa Bussard,,"Chief Human Resources Officer, Digital and Energy",,10-Feb,"Karissa Bussard has joined the company as Chief Human Resources Officer, Digital and Energy (posted on February 10)."
2026-03-01T00:23:16+00:00,Activision,Video Games,Activision Blizzard,Changes,left,Amanda Bailey,"Vice President, Global Analytics",,,23-Feb,"Amanda Bailey, Vice President, Global Analytics, has left the company (posted on February 23)."
2026-03-01T00:23:16+00:00,Adore Beauty Group,Retail,MUFG Pension & Market Services,Changes,became,Marcus Crowe,Chief Financial Officer,Chief Financial Officer and Joint Secretary,,5-Feb,"Marcus Crowe who was Chief Financial Officer, becomes Chief Financial Officer and Joint Secretary (posted on February 5)."
2026-03-01T00:23:16+00:00,"Adult Swim, Boomerang, Discovery Family, Cartoon Network & TCM",Broadcasting,Warner Bros. Discovery U.S. Networks Group,Changes,promoted,Cameron Tang,"Vice President, Development, Original Comedy and Animation, Max and Adult Swim","Senior Vice President, Head of Development and Current Series",,3-Feb,"Cameron Tang, who was Vice President, Development, Original Comedy and Animation, Max and Adult Swim, is promoted to Senior Vice President, Head of Development and Current Series (posted on February 3)."
2026-03-01T00:23:16+00:00,Aer Lingus,Airlines,International,Appointments,joined,Tara Flynn,,Chief People Officer,,10-Feb,Tara Flynn has joined the company as Chief People Officer (posted on February 10).
2026-03-01T00:23:16+00:00,Agentforce,Software,Salesforce AI,Changes,promoted,Madhav Thattai,"Senior Vice President and Chief Operating Officer, Salesforce AI",Executive Vice President and General Manager,,12-Feb,"Madhav Thattai, who was Senior Vice President and Chief Operating Officer, Salesforce AI, is promoted to Executive Vice President and General Manager (posted on February 12)."
2026-03-01T00:23:16+00:00,AIA Group,Insurance,,Appointments,joined,Shulamite Khoo,,Non-Executive Independent Director,,6-Feb,Shulamite Khoo has joined the company as Non-Executive Independent Director (posted on February 6).
2026-03-01T00:23:16+00:00,AIA Group,Insurance,,Appointments,joined,Ku Man,,Non-Executive Independent Director,,6-Feb,Ku Man has joined the company as Non-Executive Independent Director (posted on February 6).
2026-03-01T00:23:16+00:00,Airbus Americas,Aerospace,Airbus,Changes,promoted,Marlene Lesko,"Head of Talent Acquisition, North America","Head of Talent, North America",,18-Feb,"Marlene Lesko, who was Head of Talent Acquisition, North America, is promoted to Head of Talent, North America (posted on February 18)."
